0:18   -   https://shop.mango.com/co/mujer/destacados/rebajas_d14760544
      + 0:18:24   -   Sudadera crop algodón
      + 0:18:24   -   Mono denim algodón
      + 0:18:24   -   Top bordado algodón
      + 0:18:24   -   Chaqueta estilo kimono
      + 0:18:24   -   Top punto asimétrico
      + 0:18:24   -   Pantalón palazzo fluido
      + 0:18:25   -   Top diseño asimétrico
      + 0:18:25   -   Jeans rectos tobilleros
      + 0:18:25   -   Blusa estampado floral
      + 0:18:25   -   Vestido detalles plisados
      + 0:18:25   -   Vestido estampado paisley
      + 0:18:25   -   Vestido estampado cinturón
      + 0:18:25   -   Falda cintura elástica
      + 0:18:25   -   Pantalón pinzas algodón
      + 0:18:25   -   Cárdigan fluido oversize
      + 0:18:25   -   Cárdigan fluido oversize
      + 0:18:25   -   Jeans rectos tobilleros
      + 0:18:25   -   Blusa cuello fruncido
      + 0:18:25   -   Vestido fluido estampado
      + 0:18:25   -   Camiseta básica algodón
      + 0:18:25   -   Vestido estampado midi
      + 0:18:25   -   Vestido volante bajo
      + 0:18:25   -   Jeans Balloon tiro alto
      + 0:18:25   -   Blusa popelín bordado suizo
      + 0:18:25   -   Blusa lino botones
      + 0:18:25   -   Cárdigan punto combinado
      + 0:18:25   -   Blusa algodón plumeti
      + 0:18:25   -   Pantalón cintura elástica efecto piel
      + 0:18:25   -   Vestido estampado floral volante
      + 0:18:25   -   Vestido lino aberturas
      + 0:18:25   -   Vestido popelín bordado suizo
      + 0:18:25   -   Pantalón lino punto
      + 0:18:25   -   Bermudas cintura elástica
      + 0:18:25   -   Pantalón pinzas algodón
      + 0:18:25   -   Pantalón pinzas algodón
      + 0:18:25   -   Jersey punto calado pompones
      + 0:18:25   -   Camisa algodón oversize
      + 0:18:25   -   Cazadora crop hombreras
      + 0:18:25   -   Pantalón lino cinturón
      + 0:18:25   -   Cazadora oversize efecto piel
      + 0:18:25   -   Camiseta algodón rayas
      + 0:18:25   -   Vestido estampado oriental
      + 0:18:25   -   Body lunares 
      + 0:18:25   -   Jeans skinny push-up Kim
      + 0:18:25   -   Jeans skinny tiro alto Soho  
      + 0:18:25   -   Sandalia plataforma nudo
      + 0:18:25   -   Camisa estampada algodón
      + 0:18:25   -   Deportivas plataforma cordones
      + 0:18:25   -   Cárdigan punto fino
      + 0:18:25   -   Americana efecto piel cinturón
      + 0:18:25   -   Chaleco tweed bolsillos
      + 0:18:25   -   Blusa manga abullonada estampada
      + 0:18:25   -   Camisa algodón cuello babydoll
      + 0:18:25   -   Vestido camisero efecto piel
      + 0:18:25   -   Camiseta punto nudos
      + 0:18:25   -   Camiseta manga fruncida
      + 0:18:25   -   Vestido camisero estampado
      + 0:18:25   -   Pantalón 100% lino
      + 0:18:25   -   Pantalón palazzo cinturón
      + 0:18:25   -   Cárdigan algodón punto calado
      + 0:18:25   -   Top estampado floral
      + 0:18:25   -   Americana traje estructurada
      + 0:18:25   -   Mono cinturón estampado
      + 0:18:25   -   Pantalón culotte lyocell
      + 0:18:25   -   Top fluido volantes
      + 0:18:25   -   Vestido estampado fluido
      + 0:18:26   -   Chaleco algodón textura
      + 0:18:26   -   Vestido estampado cinturón
      + 0:18:26   -   Vestido plisado satinado
      + 0:18:26   -   Americana 100% lino
      + 0:18:26   -   Vestido satinado escote pico
      + 0:18:26   -   Pantalón pinzas algodón
      + 0:18:26   -   Vestido algodón volante
      + 0:18:26   -   Pantalón fluido estampado
      + 0:18:26   -   Vestido modal oversize
      + 0:18:26   -   Blusa manga abullonada estampada
